NR_OMRAD,värdeår 1929,värdeår 1960,värdeår 1970,värdeår 1980,värdeår 1990,värdeår 2000,värdeår 2010,värdeår 2016
114048,950,1070,1130,1250,1365,1485,1545,1840
114050,1200,1315,1505,1630,1755,1880,2005,2390
114052,1200,1315,1505,1630,1755,1880,2005,2390
114054,950,1070,1130,1250,1365,1485,1545,1840
115028,815,935,1050,1110,1165,1285,1400,1645
115030,950,1070,1130,1250,1365,1485,1545,1840
115032,1110,1230,1355,1480,1665,1785,1850,2130
115034,950,1070,1130,1250,1365,1485,1545,1840
115036,950,1070,1130,1250,1365,1485,1545,1840
117042,815,935,1050,1110,1165,1285,1400,1645
117044,950,1070,1130,1250,1365,1485,1545,1840
117046,1110,1230,1355,1480,1665,1785,1850,2130
117048,950,1070,1130,1250,1365,1485,1545,1840
117050,815,935,1050,1110,1165,1285,1400,1645
117900,690,750,810,925,1040,1100,1215,1420
120274,815,935,1050,1110,1165,1285,1400,1645
120275,815,935,1050,1110,1165,1285,1400,1645
120276,950,1070,1130,1250,1365,1485,1545,1840
120277,815,935,1050,1110,1165,1285,1400,1645
120278,1110,1230,1355,1480,1665,1785,1850,2130
120282,815,935,1050,1110,1165,1285,1400,1645
120284,815,935,1050,1110,1165,1285,1400,1645
120286,1110,1230,1355,1480,1665,1785,1850,2130
120900,690,750,810,925,1040,1100,1215,1420
123067,950,1070,1130,1250,1365,1485,1545,1840
123068,950,1070,1130,1250,1365,1485,1545,1840
123069,950,1070,1130,1250,1365,1485,1545,1840
123070,1405,1530,1660,1785,1915,2170,2300,2550
123071,970,1090,1210,1330,1515,1635,1695,1930
123072,950,1070,1130,1250,1365,1485,1545,1840
123073,970,1090,1210,1330,1515,1635,1695,1930
125100,815,935,1050,1110,1165,1285,1400,1645
125102,950,1070,1130,1250,1365,1485,1545,1840
125104,1405,1530,1660,1785,1915,2170,2300,2550
126300,950,1070,1130,1250,1365,1485,1545,1840
126301,815,935,1050,1110,1165,1285,1400,1645
126302,815,935,1050,1110,1165,1285,1400,1645
126303,815,935,1050,1110,1165,1285,1400,1645
126304,1110,1230,1355,1480,1665,1785,1850,2130
126305,950,1070,1130,1250,1365,1485,1545,1840
126306,1560,1690,1820,1950,2080,2335,2570,2830
126307,950,1070,1130,1250,1365,1485,1545,1840
126308,950,1070,1130,1250,1365,1485,1545,1840
127316,815,935,1050,1110,1165,1285,1400,1645
127318,815,935,1050,1110,1165,1285,1400,1645
127319,950,1070,1130,1250,1365,1485,1545,1840
127320,950,1070,1130,1250,1365,1485,1545,1840
127321,950,1070,1130,1250,1365,1485,1545,1840
127322,1110,1230,1355,1480,1665,1785,1850,2130
127324,815,935,1050,1110,1165,1285,1400,1645
128314,815,935,1050,1110,1165,1285,1400,1645
128316,815,935,1050,1110,1165,1285,1400,1645
128318,815,935,1050,1110,1165,1285,1400,1645
136326,815,935,1050,1110,1165,1285,1400,1645
136328,950,1070,1130,1250,1365,1485,1545,1840
136330,1405,1530,1660,1785,1915,2170,2300,2550
136332,950,1070,1130,1250,1365,1485,1545,1840
136334,950,1070,1130,1250,1365,1485,1545,1840
136900,690,750,810,925,1040,1100,1215,1420
138308,815,935,1050,1110,1165,1285,1400,1645
138310,950,1070,1130,1250,1365,1485,1545,1840
138312,1110,1230,1355,1480,1665,1785,1850,2130
139034,815,935,1050,1110,1165,1285,1400,1645
139036,950,1070,1130,1250,1365,1485,1545,1840
139038,950,1070,1130,1250,1365,1485,1545,1840
139040,950,1070,1130,1250,1365,1485,1545,1840
140357,690,750,810,925,1040,1100,1215,1420
140358,815,935,1050,1110,1165,1285,1400,1645
140359,690,750,810,925,1040,1100,1215,1420
160054,970,1090,1210,1330,1515,1635,1695,1930
160055,970,1090,1210,1330,1515,1635,1695,1930
160056,950,1070,1130,1250,1365,1485,1545,1840
160058,950,1070,1130,1250,1365,1485,1545,1840
160059,1200,1315,1505,1630,1755,1880,2005,2390
160060,1765,1900,2035,2170,2440,2710,2850,3185
160061,950,1070,1130,1250,1365,1485,1545,1840
160062,950,1070,1130,1250,1365,1485,1545,1840
160063,950,1070,1130,1250,1365,1485,1545,1840
160064,950,1070,1130,1250,1365,1485,1545,1840
162078,970,1090,1210,1330,1515,1635,1695,1930
162079,1200,1315,1505,1630,1755,1880,2005,2390
162080,1405,1530,1660,1785,1915,2170,2300,2550
162081,1200,1315,1505,1630,1755,1880,2005,2390
162082,950,1070,1130,1250,1365,1485,1545,1840
162083,1110,1230,1355,1480,1665,1785,1850,2130
162084,1930,2070,2210,2450,2620,2900,3025,3480
163062,950,1070,1130,1250,1365,1485,1545,1840
163063,950,1070,1130,1250,1365,1485,1545,1840
