Enhet,Kategori,Kökssvinn (kg) ,Antal dagar,År,Månad ,Antal ätande på plats,Kökssvinn g/barn/dag
Algården ,förskola,4,20,2020,April,31.746,6.3
Annexet,förskola,3,20,2020,April,33,4.54
Badparken ,förskola,1.739,20,2020,April,27.456,3.17
Bergvik,förskola,4,20,2020,April,30,6.57
Björkbacken,förskola,8,19,2020,April,33,12.91
Björken ,förskola,17.2,19,2020,April,57,15.99
Björkäng,förskola,7.2,20,2020,April,32,11.19
Blombacka,förskola,61,20,2020,April,54,56.43
Blomman,förskola,,,2020,April,26,
Bofinken ,förskola,9,19,2020,April,25,19.04
Braxen,förskola,,,2020,April,43,
Brolunda,förskola,,,2020,April,45,
Burspråket,förskola,11.25,20,2020,April,34,16.39
Eken,förskola,21,19,2020,April,29,38.45
Fasaden,förskola,7,20,2020,April,20,17.74
Filen,förskola,11.5,22,2020,April,27,19.65
Glasberga,förskola,,,2020,April,59.631,
Glasberga paviljong,förskola,37,22,2020,April,50,
Granö,förskola,15,17,2020,April,35,25.39
Grusåsen,förskola,8,19,2020,April,38,11.03
Grindstugan ,förskola,8,20,2020,April,27,14.8
Gullpudran,förskola,7,12,2020,April,37,
Hovsjö,förskola,10,20,2020,April,40,
Hästhoven,förskola,,,2020,April,34.749,
Högmohöjden,förskola,7,22,2020,April,29,10.91
Hölö,förskola,14,22,2020,April,42,14.98
Kaxberg,förskola,12,19,2020,April,27,23.75
Körsbäret,förskola,,,2020,April,32,
Lina,förskola,16.27,19,2020,April,47,18.15
Ljungbacken,förskola,27,19,2020,April,59,24.18
Lärkan,förskola,7.8,20,2020,April,31,12.45
Morellen,förskola,,,2020,April,24,
Måsen ,förskola,6,19,2020,April,39,8
Mölnboskogen ,förskola,24,20,2020,April,32,37.8
Odalen,förskola,7.8,20,2020,April,28,13.99
Oxbacken,förskola,7.8,20,2020,April,36,10.82
Oxelgrenshagen ,förskola,2.4,10,2020,April,7,32.91
Petunian,förskola,,,2020,April,15,
Pumpan,förskola,6,20,2020,April,27,10.93
Pärlan,förskola,,,2020,April,32,
Rubinen,förskola,,,2020,April,34,
Rösberga,förskola,9,21,2020,April,68,6.28
Saltsjön 1-3,förskola,21.4,20,2020,April,30,35.63
Saltsjön 4-5,förskola,13,20,2020,April,26,
Skeppet,förskola,8,20,2020,April,26,15.54
Skogsbrynet,förskola,12,19,2020,April,32,19.63
Sommaräng,förskola,,,2020,April,46,
Starrbäcken ,förskola,15.3,20,2020,April,42,18.2
Svingeln,förskola,4.8,18,2020,April,29,9.14
Taket,förskola,6,,2020,April,34,
Trossen,förskola,4.9,15,2020,April,21,
Trädgården,förskola,5,20,2020,April,33,7.57
Tygeln,förskola,,,2020,April,33.033,
Urberget,förskola,9.7,20,2020,April,22,21.74
Valla,förskola,11.3,7,2020,April,42,38.01
Vikingen 1,förskola,3.219,20,2020,April,14,11.37
Vikingen 2,förskola,3.3,20,2020,April,11,14.79
Viksberg,förskola,0,20,2020,April,50,0
Växthuset,förskola,,,2020,April,32,
Årsboken,förskola,19,20,2020,April,32.604,29.13752914
Ängsviolen ,förskola,19.6,18,2020,April,35.607,30.58075347
