Enhet,Kategori,Kökssvinn (kg) ,Antal dagar,År,Månad ,Antal ätande på plats,Kökssvinn g/barn/dag
Algården ,förskola,4.6,20,2020,Februari,81.4,2.83
Annexet,förskola,10,20,2020,Februari,85,5.9
Badparken ,förskola,7.44,20,2020,Februari,70.4,5.28
Bergvik,förskola,10.5,20,2020,Februari,78,6.72
Björkbacken,förskola,6.5,20,2020,Februari,84,3.89
Björken ,förskola,28.8,20,2020,Februari,145,9.92
Björkäng,förskola,16,17,2020,Februari,83,11.41
Blombacka,förskola,72,20,2020,Februari,139,25.97
Blomman,förskola,,,2020,Februari,67,
Bofinken ,förskola,5,20,2020,Februari,64,3.92
Braxen,förskola,,,2020,Februari,110,
Brolunda,förskola,,,2020,Februari,117,
Burspråket,förskola,12,20,2020,Februari,88,6.82
Eken,förskola,19,15,2020,Februari,74,17.19
Fasaden,förskola,9,20,2020,Februari,51,8.89
Filen,förskola,16.86,20,2020,Februari,68,12.36
Glasberga,förskola,,,2020,Februari,152.9,
Glasberga paviljong,förskola,39,20,2020,Februari,129,15.15
Granö,förskola,15,20,2020,Februari,89,8.42
Grusåsen,förskola,11.5,20,2020,Februari,98,5.87
Grindstugan ,förskola,25.2,15,2020,Februari,85,19.83
Gullpudran,förskola,38,17,2020,Februari,95,23.63
Hovsjö,förskola,15,20,2020,Februari,103,7.25
Hästhoven,förskola,,,2020,Februari,89.1,
Högmohöjden,förskola,6.05,20,2020,Februari,75,4.04
Hölö,förskola,17,20,2020,Februari,109,7.81
Kaxberg,förskola,17,20,2020,Februari,68,12.46
Körsbäret,förskola,21,20,2020,Februari,81,12.9
Lina,förskola,19.03,20,2020,Februari,121,7.86
Ljungbacken,förskola,34,20,2020,Februari,151,11.28
Lärkan,förskola,22.7,20,2020,Februari,80,14.13
Morellen,förskola,10,20,2020,Februari,61,8.26
Måsen ,förskola,15,20,2020,Februari,101,7.41
Mölnboskogen ,förskola,26.5,20,2020,Februari,81,16.28
Odalen,förskola,6.4,20,2020,Februari,72,4.48
Oxbacken,förskola,21,20,2020,Februari,92,11.36
Oxelgrenshagen ,förskola,1.1,7,2020,Februari,19,8.4
Petunian,förskola,5.5,20,2020,Februari,37,7.35
Pumpan,förskola,15,20,2020,Februari,70,10.65
Pärlan,förskola,,,2020,Februari,81,
Rubinen,förskola,,,2020,Februari,88,
Rösberga,förskola,10.6,20,2020,Februari,175,3.03
Saltsjön 1-3,förskola,21,20,2020,Februari,77,13.64
Saltsjön 4-5,förskola,13,20,2020,Februari,67,9.69
Skeppet,förskola,20,20,2020,Februari,66,15.15
Skogsbrynet,förskola,6.5,20,2020,Februari,83,3.94
Sommaräng,förskola,,,2020,Februari,119,
Starrbäcken ,förskola,23.8,20,2020,Februari,108,11.04
Svingeln,förskola,11.3,18,2020,Februari,75,8.39
Taket,förskola,12,20,2020,Februari,88,6.82
Trossen,förskola,8.4,15,2020,Februari,55,10.18
Trädgården,förskola,6,20,2020,Februari,85,3.54
Tygeln,förskola,,,2020,Februari,84.7,
Urberget,förskola,10.45,20,2020,Februari,57,9.13
Valla,förskola,14,20,2020,Februari,109,6.43
Vikingen 1,förskola,5.5,20,2020,Februari,36,7.58
Vikingen 2,förskola,5.1,20,2020,Februari,29,8.92
Viksberg,förskola,27.99,8,2020,Februari,128,27.42
Växthuset,förskola,17.8,20,2020,Februari,81,10.93
Årsboken,förskola,18,20,2020,Februari,83.6,10.76555024
Ängsviolen ,förskola,33.2,19,2020,Februari,91.3,19.13875598
