Enhet,Kategori,Kökssvinn (kg) ,Antal dagar,År,Månad ,Antal ätande på plats,Kökssvinn g/barn/dag
Algården ,förskola,9,21,2020,Januari,81.4,5.27
Annexet,förskola,15,21,2020,Januari,85,8.43
Badparken ,förskola,7.82,19,2020,Januari,70.4,5.85
Bergvik,förskola,6.2,15,2020,Januari,78,5.29
Björkbacken,förskola,13,19,2020,Januari,84,8.18
Björken ,förskola,33.9,18,2020,Januari,145,12.97
Björkäng,förskola,14,19,2020,Januari,83,8.93
Blombacka,förskola,92,19,2020,Januari,139,34.94
Blomman,förskola,,,2020,Januari,67,
Bofinken ,förskola,14,19,2020,Januari,64,11.55
Braxen,förskola,,,2020,Januari,110,
Brolunda,förskola,,14,2020,Januari,117,0
Burspråket,förskola,15,19,2020,Januari,88,8.97
Eken,förskola,25,19,2020,Januari,74,17.85
Fasaden,förskola,8,19,2020,Januari,51,8.32
Filen,förskola,11.5,19,2020,Januari,68,8.87
Glasberga,förskola,,,2020,Januari,152.9,
Glasberga paviljong,förskola,50,22,2020,Januari,129,17.66
Granö,förskola,11,19,2020,Januari,89,6.5
Grusåsen,förskola,10.2,21,2020,Januari,98,4.96
Grindstugan ,förskola,17.2,17,2020,Januari,69,14.6
Gullpudran,förskola,23,14,2020,Januari,95,17.37
Hovsjö,förskola,12,19,2020,Januari,103,6.11
Hästhoven,förskola,,,2020,Januari,89.1,
Högmohöjden,förskola,10.7,19,2020,Januari,75,7.53
Hölö,förskola,14,19,2020,Januari,109,6.77
Kaxberg,förskola,12,19,2020,Januari,68,9.26
Körsbäret,förskola,,,2020,Januari,81,
Lina,förskola,21,19,2020,Januari,121,9.13
Ljungbacken,förskola,35,19,2020,Januari,151,12.22
Lärkan,förskola,15,19,2020,Januari,80,9.83
Morellen,förskola,15,17,2020,Januari,61,14.58
Måsen ,förskola,13,19,2020,Januari,101,6.76
Mölnboskogen ,förskola,21.5,18,2020,Januari,81,14.67
Odalen,förskola,19.5,19,2020,Januari,72,14.35
Oxbacken,förskola,19,21,2020,Januari,92,9.79
Oxelgrenshagen ,förskola,,,2020,Januari,19,
Petunian,förskola,7,19,2020,Januari,37,9.85
Pumpan,förskola,20,19,2020,Januari,70,14.95
Pärlan,förskola,,,2020,Januari,81,
Rubinen,förskola,,,2020,Januari,88,
Rösberga,förskola,35.5,21,2020,Januari,175,9.67
Saltsjön 1-3,förskola,34.8,19,2020,Januari,77,23.79
Saltsjön 4-5,förskola,13,22,2020,Januari,67,8.81
Skeppet,förskola,26,15,2020,Januari,66,26.26
Skogsbrynet,förskola,6,16,2020,Januari,83,4.55
Sommaräng,förskola,27,19,2020,Januari,119,11.96
Starrbäcken ,förskola,26,19,2020,Januari,108,12.69
Svingeln,förskola,15.3,22,2020,Januari,75,9.3
Taket,förskola,4,15,2020,Januari,88,3.03
Trossen,förskola,16,22,2020,Januari,55,13.22
Trädgården,förskola,4,22,2020,Januari,85,2.15
Tygeln,förskola,,,2020,Januari,84.7,
Urberget,förskola,19.6,19,2020,Januari,57,18.03
Valla,förskola,15,19,2020,Januari,109,7.25
Vikingen 1,förskola,5,22,2020,Januari,36,6.26
Vikingen 2,förskola,4.375,22,2020,Januari,29,6.95
Viksberg,förskola,,,2020,Januari,128,
Växthuset,förskola,18.1,17,2020,Januari,81,13.08
Årsboken,förskola,16.2,19,2020,Januari,83.6,10.19894233
Ängsviolen ,förskola,10.6,15,2020,Januari,91.3,7.740051114
