Enhet,Kategori,Kökssvinn (kg) ,Antal dagar,År,Månad ,Antal ätande på plats,Kökssvinn g/barn/dag
Algården ,förskola,5,22,2020,Mars,23.606,9.63
Annexet,förskola,3,20,2020,Mars,25,6.11
Badparken ,förskola,3.5,22,2020,Mars,20.416,7.79
Bergvik,förskola,5,22,2020,Mars,23,10.03
Björkbacken,förskola,6,22,2020,Mars,24,11.25
Björken ,förskola,9,20,2020,Mars,42,10.69
Björkäng,förskola,11.3,22,2020,Mars,24,21.47
Blombacka,förskola,86,22,2020,Mars,40,97.26
Blomman,förskola,,,2020,Mars,19,
Bofinken ,förskola,7,22,2020,Mars,19,17.2
Braxen,förskola,,,2020,Mars,32,
Brolunda,förskola,,,2020,Mars,34,
Burspråket,förskola,12,22,2020,Mars,26,21.37
Eken,förskola,33,20,2020,Mars,21,77.2
Fasaden,förskola,7.75,19,2020,Mars,15,27.8
Filen,förskola,12.81,22,2020,Mars,20,29.44
Glasberga,förskola,,,2020,Mars,44.341,
Glasberga paviljong,förskola,45,21,2020,Mars,37,57.41
Granö,förskola,7,15,2020,Mars,26,18.06
Grusåsen,förskola,,,2020,Mars,28,
Grindstugan ,förskola,,,2020,Mars,20,
Gullpudran,förskola,18,12,2020,Mars,27,54.68
Hovsjö,förskola,10,15,2020,Mars,30,22.23
Hästhoven,förskola,,,2020,Mars,25.839,
Högmohöjden,förskola,5.5,22,2020,Mars,22,11.52
Hölö,förskola,13,22,2020,Mars,32,18.71
Kaxberg,förskola,12,19,2020,Mars,20,31.93
Körsbäret,förskola,,,2020,Mars,24,
Lina,förskola,17.03,19,2020,Mars,35,25.54
Ljungbacken,förskola,35,22,2020,Mars,44,36.4
Lärkan,förskola,7.9,18,2020,Mars,23,18.85
Morellen,förskola,,,2020,Mars,18,
Måsen ,förskola,7,17,2020,Mars,29,14.03
Mölnboskogen ,förskola,26.8,22,2020,Mars,24,51.6
Odalen,förskola,7.1,22,2020,Mars,21,15.56
Oxbacken,förskola,15.2,19,2020,Mars,27,29.86
Oxelgrenshagen ,förskola,2.6,22,2020,Mars,5,21.79
Petunian,förskola,,,2020,Mars,11,
Pumpan,förskola,2.8,20,2020,Mars,20,6.86
Pärlan,förskola,,,2020,Mars,24,
Rubinen,förskola,,,2020,Mars,26,
Rösberga,förskola,17,22,2020,Mars,51,15.23
Saltsjön 1-3,förskola,25.2,22,2020,Mars,22,51.3
Saltsjön 4-5,förskola,10,22,2020,Mars,19,23.36
Skeppet,förskola,15,22,2020,Mars,19,35.62
Skogsbrynet,förskola,8,22,2020,Mars,24,15.2
Sommaräng,förskola,,,2020,Mars,34,
Starrbäcken ,förskola,24.5,22,2020,Mars,31,35.62
Svingeln,förskola,13,22,2020,Mars,22,27.24
Taket,förskola,8,,2020,Mars,26,
Trossen,förskola,3.8,17,2020,Mars,16,14.01
Trädgården,förskola,7,22,2020,Mars,25,12.95
Tygeln,förskola,,,2020,Mars,24.563,
Urberget,förskola,3,22,2020,Mars,17,8.22
Valla,förskola,,,2020,Mars,32,
Vikingen 1,förskola,0.41,20,2020,Mars,11,1.95
Vikingen 2,förskola,2.1,20,2020,Mars,8,12.66
Viksberg,förskola,1.35,22,2020,Mars,37,1.66
Växthuset,förskola,,,2020,Mars,24,
Årsboken,förskola,20,22,2020,Mars,24.244,37.49756266
Ängsviolen ,förskola,19.6,18,2020,Mars,26.477,41.12584088
