Enhet,Kökssvinn(i kg) januari,Kökssvinn(i kg) februari,Kökssvinn(i kg) mars,Kökssvinn(i kg) april
Algården,43.0,45.0,,44.0
Annexet,7.3,11.7,,
Badparken,2.4,1.9,2.6,1.7
Bergvik,,,,
Björkbacken,16.0,19.0,24.0,21.0
Björken,21.5,24.0,25.0,
Björkäng,13.7,14.6,17.5,11.8
Blombacka fsk,40.0,38.7,13.4,6.8
Blomman,,,2.0,
Bofinken,,,5.6,5.0
Brolunda,4.4,4.9,5.1,4.1
Burspråket,1.6,2.0,2.0,4.8
Eken,6.0,10.0,21.0,10.0
Fasaden,,,5.0,7.0
Filen,9.1,7.4,7.8,5.3
Folkparken,,,,
Glasberg pav,,,31.5,
Glasberga,13.6,12.0,17.0,10.0
Granö,8.0,12.0,,
Grusåsen,6.2,7.0,8.6,8.1
Gullpudran,22.0,13.0,13.0,9.0
Hovsjö,,,20.0,
Hästhoven,,,10.2,3.0
Högmohöjden,2.0,2.5,,2.5
Hölö fsk,5.1,5.5,4.5,4.5
Kaxberg,,,,
Körsbäret,20.0,20.0,17.0,6.0
Lina fsk,8.8,12.0,14.7,
Ljunbacken,40.0,42.0,,40.0
Lärkan,6.7,7.7,6.2,3.9
Morellen,6.0,6.0,7.0,
Måsen,10.0,7.0,8.0,8.0
Mölnboskogen,28.0,25.0,30.0,37.0
Oxbacken,19.0,18.2,18.9,5.6
Oxelgrenshagen,13.0,11.0,10.0,11.0
Petunian,0.7,1.0,1.0,1.0
Pumpan,,,21.0,18.0
Pärlan,,,,
Rubinen,,,5.4,7.6
Rösberga,16.9,14.7,17.5,12.5
Saltsjön 1-3,9.0,10.0,11.0,
Saltsjön 4-5,17.0,16.0,15.0,15.0
Skeppet,3.2,6.2,,
Skogsbrynet,4.3,4.5,3.5,3.0
Solhem,,,11.0,3.6
Sommaräng,,,,18.0
Starrbäcken,,,,7.5
Svingeln,4.8,5.2,7.9,6.3
Taket,,,,18.0
Trossen,4.7,4.3,7.8,
Trädgården,18.0,22.0,16.0,25.0
Tygeln,,,,
Valla fsk,,,,
Vikingen 1,9.0,4.0,5.0,4.0
Vikingen 2,8.0,3.0,4.0,3.0
Viksberg fsk,4.0,2.0,5.0,2.0
Växthuset,,,,
Ängsviolen,12.0,13.0,25.5,16.0
Årsboken,19.0,17.3,20.5,15.0
