Enhet,Kategori,Kökssvinn  (i kg),År,Månad
Algården,Föskola,33,2023,December
Annexet,Föskola,9,2023,December
Badparken,Föskola,1.3,2023,December
Bergvik,Föskola,10,2023,December
Björkbacken,Föskola,11,2023,December
Björken,Föskola,22,2023,December
Björkäng,Föskola,8.6,2023,December
Blombacka fsk,Föskola,,2023,December
Blomman,Föskola,3,2023,December
Bofinken,Föskola,2.9,2023,December
Brolunda,Föskola,18.5,2023,December
Burspråket,Föskola,3,2023,December
Eken,Föskola,8,2023,December
Fasaden,Föskola,4,2023,December
Filen,Föskola,1.7,2023,December
Folkparken,Föskola,,2023,December
Glasberga,Föskola,8,2023,December
Glasberg pav,Föskola,10,2023,December
Granö,Föskola,4,2023,December
Grusåsen,Föskola,7.5,2023,December
Gullpudran,Föskola,14,2023,December
Hovsjö,Föskola,,2023,December
Hästhoven,Föskola,1.3,2023,December
Högmohöjden,Föskola,3.3,2023,December
Hölö fsk,Föskola,2,2023,December
Kaxberg,Föskola,,2023,December
Körsbäret,Föskola,5,2023,December
Lina fsk,Föskola,23,2023,December
Ljunbacken,Föskola,,2023,December
Lärkan,Föskola,3.7,2023,December
Morellen,Föskola,3,2023,December
Måsen,Föskola,6,2023,December
Mölnboskogen,Föskola,30,2023,December
Oxbacken,Föskola,3.9,2023,December
Oxelgrenshagen,Föskola,23,2023,December
Petunian,Föskola,0.5,2023,December
Pumpan,Föskola,12,2023,December
Pärlan,Föskola,6,2023,December
Rubinen,Föskola,4,2023,December
Rösberga,Föskola,11.3,2023,December
Saltsjön 1-3,Föskola,,2023,December
Saltsjön 4-5,Föskola,9,2023,December
Skeppet,Föskola,6.7,2023,December
Skogsbrynet,Föskola,2.8,2023,December
Solhem,Föskola,3.4,2023,December
Sommaräng,Föskola,13,2023,December
Starrbäcken,Föskola,7.3,2023,December
Svingeln,Föskola,3.4,2023,December
Taket,Föskola,4.5,2023,December
Trossen,Föskola,5,2023,December
Trädgården,Föskola,22,2023,December
Tygeln,Föskola,2,2023,December
Vikingen 1,Föskola,,2023,December
Vikingen 2,Föskola,,2023,December
Valla fsk,Föskola,,2023,December
Viksberg fsk,Föskola,5,2023,December
Växthuset,Föskola,2.7,2023,December
Årsboken,Föskola,8,2023,December
Ängsviolen,Föskola,15,2023,December
