Enhet,Kategori,Kökssvinn  (i kg),År,Månad
Algården,Föskola,42,2023,Nov
Annexet,Föskola,7.8,2023,Nov
Badparken,Föskola,1.7,2023,Nov
Bergvik,Föskola,10,2023,Nov
Björkbacken,Föskola,,2023,Nov
Björken,Föskola,28,2023,Nov
Björkäng,Föskola,13.5,2023,Nov
Blombacka fsk,Föskola,3.5,2023,Nov
Blomman,Föskola,3,2023,Nov
Bofinken,Föskola,3.1,2023,Nov
Brolunda,Föskola,30,2023,Nov
Burspråket,Föskola,3,2023,Nov
Eken,Föskola,15,2023,Nov
Fasaden,Föskola,5,2023,Nov
Filen,Föskola,5.2,2023,Nov
Folkparken,Föskola,,2023,Nov
Glasberga,Föskola,12,2023,Nov
Glasberg pav,Föskola,34,2023,Nov
Granö,Föskola,6,2023,Nov
Grusåsen,Föskola,10.5,2023,Nov
Gullpudran,Föskola,18,2023,Nov
Hovsjö,Föskola,10,2023,Nov
Hästhoven,Föskola,2.3,2023,Nov
Högmohöjden,Föskola,2.5,2023,Nov
Hölö fsk,Föskola,3,2023,Nov
Kaxberg,Föskola,,2023,Nov
Körsbäret,Föskola,5,2023,Nov
Lina fsk,Föskola,,2023,Nov
Ljunbacken,Föskola,40,2023,Nov
Lärkan,Föskola,3.8,2023,Nov
Morellen,Föskola,3,2023,Nov
Måsen,Föskola,8,2023,Nov
Mölnboskogen,Föskola,47,2023,Nov
Oxbacken,Föskola,3.9,2023,Nov
Oxelgrenshagen,Föskola,13,2023,Nov
Petunian,Föskola,0.5,2023,Nov
Pumpan,Föskola,17,2023,Nov
Pärlan,Föskola,7,2023,Nov
Rubinen,Föskola,6.7,2023,Nov
Rösberga,Föskola,12.7,2023,Nov
Saltsjön 1-3,Föskola,9,2023,Nov
Saltsjön 4-5,Föskola,18,2023,Nov
Skeppet,Föskola,,2023,Nov
Skogsbrynet,Föskola,3,2023,Nov
Solhem,Föskola,3.9,2023,Nov
Sommaräng,Föskola,10,2023,Nov
Starrbäcken,Föskola,8.3,2023,Nov
Svingeln,Föskola,,2023,Nov
Taket,Föskola,5,2023,Nov
Trossen,Föskola,6,2023,Nov
Trädgården,Föskola,14,2023,Nov
Tygeln,Föskola,2,2023,Nov
Vikingen 1,Föskola,2.8,2023,Nov
Vikingen 2,Föskola,2.5,2023,Nov
Valla fsk,Föskola,18,2023,Nov
Viksberg fsk,Föskola,2,2023,Nov
Växthuset,Föskola,4,2023,Nov
Årsboken,Föskola,12,2023,Nov
Ängsviolen,Föskola,10,2023,Nov
