Enhet,Kategori,Kökssvinn  (i kg),År,Månad
Algården,Föskola,46,2023,Oktober
Annexet,Föskola,8.2,2023,Oktober
Badparken,Föskola,2.4,2023,Oktober
Bergvik,Föskola,,2023,Oktober
Björkbacken,Föskola,12,2023,Oktober
Björken,Föskola,22,2023,Oktober
Björkäng,Föskola,13.8,2023,Oktober
Blombacka fsk,Föskola,4.7,2023,Oktober
Blomman,Föskola,4,2023,Oktober
Bofinken,Föskola,5.2,2023,Oktober
Brolunda,Föskola,,2023,Oktober
Burspråket,Föskola,3,2023,Oktober
Eken,Föskola,15,2023,Oktober
Fasaden,Föskola,7,2023,Oktober
Filen,Föskola,3.87,2023,Oktober
Folkparken,Föskola,,2023,Oktober
Glasberga,Föskola,16,2023,Oktober
Glasberg pav,Föskola,28,2023,Oktober
Granö,Föskola,5,2023,Oktober
Grusåsen,Föskola,10,2023,Oktober
Gullpudran,Föskola,17,2023,Oktober
Hovsjö,Föskola,10,2023,Oktober
Hästhoven,Föskola,3,2023,Oktober
Högmohöjden,Föskola,2.5,2023,Oktober
Hölö fsk,Föskola,3.5,2023,Oktober
Kaxberg,Föskola,,2023,Oktober
Körsbäret,Föskola,4,2023,Oktober
Lina fsk,Föskola,19.4,2023,Oktober
Ljunbacken,Föskola,,2023,Oktober
Lärkan,Föskola,2.3,2023,Oktober
Morellen,Föskola,3,2023,Oktober
Måsen,Föskola,12,2023,Oktober
Mölnboskogen,Föskola,55,2023,Oktober
Oxbacken,Föskola,5.45,2023,Oktober
Oxelgrenshagen,Föskola,14,2023,Oktober
Petunian,Föskola,0.5,2023,Oktober
Pumpan,Föskola,20,2023,Oktober
Pärlan,Föskola,7,2023,Oktober
Rubinen,Föskola,5.6,2023,Oktober
Rösberga,Föskola,16.7,2023,Oktober
Saltsjön 1-3,Föskola,10,2023,Oktober
Saltsjön 4-5,Föskola,21,2023,Oktober
Skeppet,Föskola,62,2023,Oktober
Skogsbrynet,Föskola,2.5,2023,Oktober
Solhem,Föskola,4.8,2023,Oktober
Sommaräng,Föskola,9.5,2023,Oktober
Starrbäcken,Föskola,,2023,Oktober
Svingeln,Föskola,3.9,2023,Oktober
Taket,Föskola,16,2023,Oktober
Trossen,Föskola,4,2023,Oktober
Trädgården,Föskola,14,2023,Oktober
Tygeln,Föskola,1,2023,Oktober
Vikingen 1,Föskola,4,2023,Oktober
Vikingen 2,Föskola,3,2023,Oktober
Valla fsk,Föskola,12,2023,Oktober
Viksberg fsk,Föskola,4,2023,Oktober
Växthuset,Föskola,7.95,2023,Oktober
Årsboken,Föskola,10.5,2023,Oktober
Ängsviolen,Föskola,6,2023,Oktober
