År;Grönsaksfabriken totalt (kr);Martin & Servera totalt (kr);Samtliga leverantörer;Månad;Grönsaksfabriken lokala inköp (kr);Grönsaksfabriken % av totala inköp;Norrmejerier totalt (kr);Norrmejerier lokala inköp (kr);Norrmejerier % av totala inköp;Martin & Servera % av totalt inköp;Martin & Servera lokalt inköp (kr);Period
2024;;7883930;9749805;01-01-04;;0.0;1865875;1865875;100;17.132711731331963;1350731;2024-04
2024;;6992891;8524995;01-01-08;;0.0;1532104;1532104;100;12.958889249095975;906201;2024-08
2024;;8651982;10522265;01-01-09;;0.0;1870283;1870283;100;13.562753597961716;1173447;2024-09
2024;;8771328;10753354;01-01-10;;0.0;1982026;1982026;100;14.761630165922423;1294791;2024-10
2024;1272041;7536169;10677982;01-01-02;668380;52.54390385215571;1869772;1869772;100;7.97600213052547;601085;2024-02
2024;;6932584;8550780;01-01-03;;0.0;1618196;1618196;100;12.507298865762031;867079;2024-03
2024;;2622515;3308253;01-01-07;;0.0;685738;685738;100;15.167920869852031;397781;2024-07
2024;1272172;7602349;10880691;;642814;50.52885930518829;2006170;2006170;100;7.282867440050437;553669;2024-01
2024;;7999475;9811500;01-01-05;;0.0;1812025;1812025;100;12.267705068145098;981352;2024-05
2024;;4519615;5602003;01-01-06;;0.0;1082388;1082388;100;13.17140951165088;595297;2024-06
2024;;8619853;10643979;01-01-11;;0.0;2024126;2024126;100;17.3754703241459;1497740;2024-11
2024;;7282872;8961413;01-01-12;;0.0;1678541;1678541;100;14.872896296955377;1083174;2024-12
